path,board,spec_code,topic,current_title,proposed_title,title_len,current_description,proposed_description,desc_len,canonical,flags
revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,AQA,2.1.1,The Objectives of Government Economic Policy,2.1.1 The Objectives of Government Economic Policy | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.1.1 Government Policy Objectives,56,"Free AQA A-Level Economics revision notes on The Objectives of Government Economic Policy - learn about economic growth, low unemployment, low and stable inflation, balance of payments equilibrium, a balanced government budget, greater income equality, and environmental protection.","Free AQA A-Level Economics revision notes for unit 2.1.1. Covers growth, unemployment, inflation, the current account, the budget balance and income equality.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-1-the-objectives-of-government-economic-policy.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,AQA,2.1.2,Macroeconomic Indicators,2.1.2 Macroeconomic Indicators | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.1.2 Macroeconomic Indicators,52,"Free AQA A-Level Economics revision notes on Macroeconomic Indicators - learn about GDP, CPI, RPI, unemployment, productivity and balance of payments on current account.","Revision notes for AQA A-Level Economics 2.1.2. Covers GDP and real GDP per capita, CPI and RPI, unemployment measures, productivity and the current account.",157,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-2-macroeconomic-indicators.html,
revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,AQA,2.1.3,Uses of Index Numbers,2.1.3 Uses of Index Numbers | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.1.3 Uses of Index Numbers,49,"Free AQA A-Level Economics revision notes on Uses of Index Numbers - learn how index numbers are calculated and interpreted, including the base year and the use of weights.","Free AQA A-Level Economics revision notes for unit 2.1.3. Covers base years and weighting, and how CPI and the inflation rate are calculated step by step.",154,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-3-uses-of-index-numbers.html,
revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,AQA,2.1.4,Uses of National Income Data,2.1.4 Uses of National Income Data | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.1.4 Uses of National Income Data,56,Free AQA A-Level Economics revision notes on Uses of National Income Data.,"Free AQA A-Level Economics revision notes (2.1.4). Covers the three measurement methods, comparing living standards over time, and purchasing power parity.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-1-4-uses-of-national-income-data.html,
revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,AQA,2.2.1,The Circular Flow of Income,2.2.1 The Circular Flow of Income | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.1 The Circular Flow of Income,55,"Free AQA A-Level Economics revision notes on The Circular Flow of Income - learn about the circular flow of income, injections and withdrawals, and national income concepts.","Free AQA A-Level Economics revision notes (2.2.1). Covers the circular flow, injections and withdrawals, equilibrium income, and nominal versus real income.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,
revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,AQA,2.2.2,Aggregate Demand and Aggregate Supply Analysis,2.2.2 Aggregate Demand and Aggregate Supply Analysis | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.2 AD and AS Analysis,46,"Free AQA A-Level Economics revision notes on Aggregate Demand and Aggregate Supply Analysis - learn about the components of AD, the AD curve, SRAS and LRAS, and the factors that influence them.","AQA A-Level Economics 2.2.2 revision notes. Covers the components of AD, movements versus shifts, and the determinants of both SRAS and LRAS. With diagrams.",156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-2-aggregate-demand-and-aggregate-supply-analysis.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,AQA,2.2.3,The Determinants of Aggregate Demand,2.2.3 The Determinants of Aggregate Demand | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.3 Determinants of Aggregate Demand,60,"Free AQA A-Level Economics revision notes on The Determinants of Aggregate Demand - learn about the components of AD, the determinants of AD, and the accelerator effect.","Revision notes for AQA A-Level Economics 2.2.3. Covers consumption, investment, government spending and the accelerator effect. Includes evaluation points.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-3-the-determinants-of-aggregate-demand.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,AQA,2.2.4,Aggregate Demand and the Level of Economic Activity,2.2.4 Aggregate Demand and the Level of Economic Activity | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.4 AD and the Multiplier,49,"Free AQA A-Level Economics revision notes on Aggregate Demand and the Level of Economic Activity - learn about the multiplier, how it works, and its effect on aggregate demand.","AQA A-Level Economics 2.2.4 revision notes. Covers the multiplier process, marginal propensities, the formula, and what determines its size. With diagrams.",155,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-4-aggregate-demand-and-the-level-of-economic-activity.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,AQA,2.2.5,Determinants of Short-Run Aggregate Supply,2.2.5 Determinants of Short-Run Aggregate Supply | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.5 Determinants of SRAS,48,"Free AQA A-Level Economics revision notes on Determinants of Short-Run Aggregate Supply - learn about the factors that influence short-run aggregate supply, including production costs, labour costs, exchange rates, and supply shocks.","AQA A-Level Economics 2.2.5 revision notes. Covers why SRAS slopes upward and how production costs, wages and exchange rates shift it. With comparison tables.",158,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-5-determinants-of-short-run-aggregate-supply.html,topic shortened for title only; h1 unchanged
revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,AQA,2.2.6,Determinants of Long-Run Aggregate Supply,2.2.6 Determinants of Long-Run Aggregate Supply | AQA A-Level Economics Revision Notes | Economics Academy,AQA A-Level Economics 2.2.6 Determinants of LRAS,48,"Free AQA A-Level Economics revision notes on Determinants of Long-Run Aggregate Supply - learn about the factors that influence long-run aggregate supply, including technological advances, changes in education and skills, productivity, demographic changes, capital stock, competition policy, and institutional improvements.",AQA A-Level Economics 2.2.6 revision notes. Covers the Classical and Keynesian views of LRAS and the factors that shift productive potential. With diagrams.,156,https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/2-2-6-determinants-of-long-run-aggregate-supply.html,topic shortened for title only; h1 unchanged
