Country,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
United Kingdom,163,154,8379,7104,1.95%,2.17%,13.49,12.54
India,9,4,1434,298,0.63%,1.34%,23.72,13.21
United Arab Emirates,7,1,398,46,1.76%,2.17%,8.03,13.61
Indonesia,6,0,649,236,0.92%,0%,23.19,24.55
Hong Kong,6,4,171,84,3.51%,4.76%,8.51,9.4
Sri Lanka,5,1,120,68,4.17%,1.47%,6.93,6.91
Spain,3,1,334,115,0.9%,0.87%,22.79,24.34
Nigeria,3,1,78,51,3.85%,1.96%,5.79,14.63
Mauritius,3,0,52,20,5.77%,0%,11.08,10.1
United States,2,0,5805,1045,0.03%,0%,9.7,13.96
Bangladesh,2,6,383,267,0.52%,2.25%,23.33,22.84
France,2,0,265,16,0.75%,0%,26.83,11.69
Pakistan,2,1,264,184,0.76%,0.54%,20.4,25.05
Greece,2,0,34,18,5.88%,0%,6.26,5.78
Cyprus,2,0,17,6,11.76%,0%,5.59,15
Vietnam,1,1,935,1013,0.11%,0.1%,26.17,24.11
Turkey,1,1,442,17,0.23%,5.88%,30.66,8.06
Ukraine,1,1,342,51,0.29%,1.96%,20.7,13.12
Singapore,1,0,330,99,0.3%,0%,9.08,9.89
Australia,1,0,271,68,0.37%,0%,12.24,30.47
Saudi Arabia,1,1,226,52,0.44%,1.92%,22.13,17.46
Maldives,1,6,113,63,0.88%,9.52%,6.84,7.44
South Africa,1,0,88,28,1.14%,0%,9.74,14.93
Canada,1,0,75,54,1.33%,0%,14.45,26.09
Netherlands,1,4,69,84,1.45%,4.76%,7.07,10.94
South Korea,1,4,69,38,1.45%,10.53%,9.74,7
Italy,1,0,65,109,1.54%,0%,13.46,23.75
Kenya,1,2,58,33,1.72%,6.06%,5.57,6.55
China,1,2,43,26,2.33%,7.69%,7.4,7.88
Zimbabwe,1,0,39,19,2.56%,0%,6.97,8.26
Uganda,1,0,36,36,2.78%,0%,9.44,5.92
Papua New Guinea,1,0,34,3,2.94%,0%,6.32,1.67
Ireland,1,0,27,12,3.7%,0%,7.7,13.08
Portugal,1,0,24,28,4.17%,0%,6.75,27.18
Taiwan,1,0,24,4,4.17%,0%,9.08,3.5
Colombia,1,0,19,117,5.26%,0%,18.26,28.36
Myanmar (Burma),1,0,16,41,6.25%,0%,5.44,5.24
Sweden,1,0,16,9,6.25%,0%,7.12,9
Cambodia,1,0,16,5,6.25%,0%,7.25,14.4
Austria,1,1,15,6,6.67%,16.67%,8.4,6.83
Qatar,1,0,14,10,7.14%,0%,6.57,11.2
Israel,1,0,9,7,11.11%,0%,6.67,12.86
Cameroon,1,0,9,4,11.11%,0%,6.78,3.75
Sierra Leone,1,0,4,6,25%,0%,7.5,7.67
Latvia,1,0,3,1,33.33%,0%,6,11
Philippines,0,1,724,229,0%,0.44%,30.05,26.68
Thailand,0,1,629,20,0%,5%,23.96,9.65
Malaysia,0,1,464,176,0%,0.57%,26.32,27.68
Russia,0,0,355,51,0%,0%,25.92,19.84
Mexico,0,0,303,247,0%,0%,27.93,28.3
Morocco,0,1,209,191,0%,0.52%,25.77,28.18
Jordan,0,0,185,6,0%,0%,28.76,16.17
Algeria,0,0,173,77,0%,0%,28.8,28.82
Germany,0,0,79,60,0%,0%,7.59,8.85
Iraq,0,0,69,11,0%,0%,23.68,27.64
New Zealand,0,1,68,24,0%,4.17%,5.41,19.46
Switzerland,0,0,56,9,0%,0%,35.84,12.33
Japan,0,0,53,22,0%,0%,6.09,7.73
Nepal,0,1,52,24,0%,4.17%,5.13,7.96
Ghana,0,0,48,17,0%,0%,10.6,4.53
Brazil,0,0,39,241,0%,0%,11.49,26.9
Poland,0,0,29,9,0%,0%,9.52,10.56
Egypt,0,1,25,120,0%,0.83%,10.44,24.67
Romania,0,0,18,2,0%,0%,7.94,17.5
Zambia,0,0,17,6,0%,0%,4.41,7.33
Tanzania,0,0,17,6,0%,0%,8.12,6
Finland,0,0,16,7,0%,0%,23.44,15.29
Kuwait,0,0,15,8,0%,0%,6.87,12.5
Peru,0,0,15,12,0%,0%,10.47,22.42
Botswana,0,0,14,11,0%,0%,4.21,5.64
Namibia,0,0,14,7,0%,0%,4.71,10.86
Denmark,0,0,13,4,0%,0%,15.31,7.75
Argentina,0,0,12,44,0%,0%,9.83,22.77
Hungary,0,0,12,1,0%,0%,11.58,9
Tunisia,0,0,12,7,0%,0%,12.75,19.29
Guernsey,0,0,10,0,0%,0%,6.2,0
Ethiopia,0,1,9,22,0%,4.55%,3.89,21.68
Uzbekistan,0,0,9,3,0%,0%,7.33,18.33
Belgium,0,0,9,3,0%,0%,7.56,6
Lithuania,0,0,9,3,0%,0%,7.67,6
Belarus,0,0,9,3,0%,0%,7.89,40.33
Somalia,0,0,8,1,0%,0%,4.88,1
Kazakhstan,0,0,8,8,0%,0%,6,12.38
Malta,0,0,8,4,0%,0%,6.5,6
South Sudan,0,0,7,2,0%,0%,4.43,6.5
Rwanda,0,0,7,4,0%,0%,5.57,6.5
Serbia,0,0,7,2,0%,0%,5.57,7
Azerbaijan,0,0,7,9,0%,0%,5.71,20.33
Chile,0,0,7,13,0%,0%,12.43,26.46
Norway,0,0,7,5,0%,0%,13.14,4
Lesotho,0,0,6,4,0%,0%,3.5,8.75
Brunei,0,0,6,0,0%,0%,3.83,0
Fiji,0,0,6,0,0%,0%,5.17,0
Iran,0,0,6,6,0%,0%,5.33,5.33
Montenegro,0,0,6,0,0%,0%,5.33,0
Armenia,0,0,6,3,0%,0%,6,13
Dominican Republic,0,0,6,4,0%,0%,14.67,19.25
Lebanon,0,0,5,11,0%,0%,5.2,14.45
Bhutan,0,0,5,2,0%,0%,5.6,3.5
Malawi,0,0,5,4,0%,0%,5.6,3.5
Seychelles,0,0,5,0,0%,0%,7.2,0
Laos,0,0,5,1,0%,0%,7.8,2
Swaziland,0,0,5,4,0%,0%,8,10.5
Ecuador,0,0,5,91,0%,0%,14.6,29.92
Samoa,0,0,4,0,0%,0%,4.25,0
Bolivia,0,0,4,6,0%,0%,6.5,19.83
Jamaica,0,0,4,3,0%,0%,6.5,8.33
Macau,0,0,4,3,0%,0%,9.25,1.33
Bulgaria,0,0,4,3,0%,0%,11.25,11.67
Slovakia,0,0,4,3,0%,0%,12.5,26
Georgia,0,0,4,3,0%,0%,18.25,14.67
Angola,0,0,3,4,0%,0%,3.67,27.25
Croatia,0,0,3,0,0%,0%,4,0
Bahrain,0,0,3,0,0%,0%,5.67,0
El Salvador,0,0,3,0,0%,0%,5.67,0
Mozambique,0,1,3,6,0%,16.67%,6.67,11.17
Czechia,0,0,3,1,0%,0%,8,9
Panama,0,0,3,3,0%,0%,8,23.33
Slovenia,0,0,3,1,0%,0%,9.33,1
Madagascar,0,0,3,0,0%,0%,15.67,0
Venezuela,0,0,3,11,0%,0%,22.67,29
Trinidad & Tobago,0,0,3,21,0%,0%,25,34.1
Mongolia,0,0,2,1,0%,0%,1.5,26
Afghanistan,0,0,2,0,0%,0%,5,0
Uruguay,0,0,2,7,0%,0%,5,23.57
Libya,0,0,2,1,0%,0%,5.5,1
St. Vincent & Grenadines,0,0,2,0,0%,0%,6,0
Albania,0,0,2,2,0%,0%,7.5,24.5
Jersey,0,0,2,6,0%,0%,7.5,5.17
Estonia,0,0,2,0,0%,0%,8,0
Oman,0,1,2,26,0%,3.85%,12.5,23.12
Guatemala,0,0,2,5,0%,0%,17.5,28.2
Costa Rica,0,0,2,1,0%,0%,34,33
Nicaragua,0,0,2,1,0%,0%,43.5,41
Kiribati,0,0,1,0,0%,0%,1,0
Mauritania,0,0,1,0,0%,0%,1,0
Syria,0,0,1,0,0%,0%,1,0
Gibraltar,0,0,1,0,0%,0%,2,0
Honduras,0,0,1,1,0%,0%,2,10
Cuba,0,0,1,0,0%,0%,4,0
Liberia,0,0,1,0,0%,0%,4,0
San Marino,0,0,1,0,0%,0%,4,0
Suriname,0,0,1,0,0%,0%,4,0
St. Lucia,0,0,1,0,0%,0%,5,0
Curaçao,0,0,1,0,0%,0%,6,0
Moldova,0,0,1,2,0%,0%,6,5.5
Senegal,0,0,1,3,0%,0%,6,40.33
