Top pages,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
https://economicsacademy.co.uk/revision-notes/,62,84,2639,2086,2.35%,4.03%,12.14,9.13
https://economicsacademy.co.uk/,38,18,635,620,5.98%,2.9%,22.46,23.12
https://economicsacademy.co.uk/revision-notes/macroeconomics-diagrams.html,15,14,1932,867,0.78%,1.61%,14.2,13.7
https://economicsacademy.co.uk/past-papers/edexcel-b/,10,11,1545,1608,0.65%,0.68%,15.98,11.04
https://economicsacademy.co.uk/revision-notes/microeconomics-diagrams.html,9,5,1262,515,0.71%,0.97%,13.19,15.48
https://economicsacademy.co.uk/tutoring.html,8,8,248,106,3.23%,7.55%,25.75,17.39
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-1-1-economics-as-a-social-science.html,6,5,358,174,1.68%,2.87%,7.42,9.27
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/,4,6,490,314,0.82%,1.91%,12.18,8.68
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-1-3-the-economic-problem.html,4,2,432,241,0.93%,0.83%,4.88,5.05
https://economicsacademy.co.uk/revision-notes/edexcel-theme-4/,4,3,376,240,1.06%,1.25%,16.76,11.32
https://economicsacademy.co.uk/revision-notes/edexcel-theme-2/,4,1,214,158,1.87%,0.63%,13.3,9.97
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-3-1-types-of-market-failure.html,3,1,2489,481,0.12%,0.21%,9.78,20.41
https://economicsacademy.co.uk/marking.html,3,3,115,83,2.61%,3.61%,12.12,10.48
https://economicsacademy.co.uk/practice-questions/edexcel-theme-4/4-1-8-exchange-rates.html,3,0,15,0,20%,0%,31.2,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-3-4-information-gaps.html,2,2,2868,599,0.07%,0.33%,7.34,8.27
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-1-5-specialisation-division-of-labour.html,2,3,1048,639,0.19%,0.47%,13.84,12.78
https://economicsacademy.co.uk/past-papers/aqa/,2,10,1027,779,0.19%,1.28%,24.15,20.56
https://economicsacademy.co.uk/past-papers/ocr/,2,14,787,775,0.25%,1.81%,22.66,14.47
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-2-1-rational-decision-making.html,2,0,449,137,0.45%,0%,13.99,15.34
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-2/aqa-a-level-economics-paper-2-specimen-question-paper.pdf,2,1,201,139,1%,0.72%,35.52,25.8
https://economicsacademy.co.uk/index.html,2,0,168,150,1.19%,0%,16.7,13.87
https://economicsacademy.co.uk/revision-notes/edexcel-theme-3/,2,0,87,0,2.3%,0%,13.77,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-3/index.html,2,6,64,176,3.12%,3.41%,11.97,8.84
https://economicsacademy.co.uk/revision-notes/glossary/,2,0,54,0,3.7%,0%,8.56,0
https://economicsacademy.co.uk/past-paper-questions/aqa/,2,0,32,0,6.25%,0%,20.56,0
https://economicsacademy.co.uk/practice-questions/aqa-a2-micro/1-4-3-the-law-of-diminishing-returns-and-returns-to-scale.html,2,0,27,0,7.41%,0%,10.26,0
https://economicsacademy.co.uk/practice-questions/,2,0,27,0,7.41%,0%,28.67,0
https://economicsacademy.co.uk/practice-questions/aqa-a2-macro/2-2-1-the-circular-flow-of-income.html,2,0,18,0,11.11%,0%,6.28,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-1/1-3-3-public-goods.html,2,0,10,0,20%,0%,12.3,0
https://economicsacademy.co.uk/practice-questions/aqa-a2-micro/1-8-4-positive-and-negative-externalities-in-consumption-and-production.html,2,0,10,0,20%,0%,15.1,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-4/4-2-1-absolute-relative-poverty.html,2,0,7,0,28.57%,0%,18.71,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-4-2-government-failure.html,1,0,447,167,0.22%,0%,16.21,17
https://economicsacademy.co.uk/past-papers/edexcel/,1,0,245,0,0.41%,0%,51.67,0
https://economicsacademy.co.uk/past-papers/,1,0,244,0,0.41%,0%,39.16,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-2/2-6-3-supply-side-policies.html,1,1,172,41,0.58%,2.44%,13.7,11.61
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-1-2-positive-normative-statements.html,1,0,122,106,0.82%,0%,27.1,31.71
https://economicsacademy.co.uk/practice-questions/edexcel-theme-2/,1,0,105,0,0.95%,0%,37.3,0
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2021-question-paper.pdf,1,0,51,267,1.96%,0%,30.88,29
https://economicsacademy.co.uk/practice-questions/edexcel-theme-3/3-1-2-business-growth.html,1,0,46,0,2.17%,0%,10.61,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-4/,1,0,44,0,2.27%,0%,30.86,0
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-1/aqa-a-level-economics-paper-1-specimen-question-paper.pdf,1,0,42,85,2.38%,0%,23.52,31.39
https://economicsacademy.co.uk/past-paper-questions/aqa/microeconomics/,1,0,39,0,2.56%,0%,22.82,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/theme-1/,1,0,32,0,3.12%,0%,20.97,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/4-1-1-globalisation/,1,0,31,0,3.23%,0%,24.45,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-1/1-2-7-price-mechanism.html,1,0,30,0,3.33%,0%,12,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-2/index.html,1,0,25,0,4%,0%,23.92,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/4-5-2-taxation/,1,0,24,0,4.17%,0%,16.08,0
https://economicsacademy.co.uk/practice-questions/edexcel-theme-3/3-4-4-oligopoly.html,1,0,19,0,5.26%,0%,14.74,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-2/2-2-1-aggregate-demand.html,1,0,19,12,5.26%,0%,22.37,20.17
https://economicsacademy.co.uk/past-paper-questions/edexcel/1-3-2-externalities/,1,0,18,0,5.56%,0%,10.72,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/3-3-2-costs/,1,0,18,0,5.56%,0%,21.83,0
https://economicsacademy.co.uk/past-paper-questions/aqa/1-7-1-the-distribution-of-income-and-wealth/,1,0,17,0,5.88%,0%,8.41,0
https://economicsacademy.co.uk/practice-questions/aqa-a2-micro/1-4-5-economies-and-diseconomies-of-scale.html,1,0,17,0,5.88%,0%,9.76,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/4-2-2-inequality/,1,0,15,0,6.67%,0%,14.87,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/3-4-4-oligopoly/,1,0,15,0,6.67%,0%,17.27,0
https://economicsacademy.co.uk/past-paper-questions/aqa/1-5-10-market-structure-efficiency-resource-allocation/,1,0,15,0,6.67%,0%,43.93,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/1-2-6-price-determination/,1,0,13,0,7.69%,0%,14.08,0
https://economicsacademy.co.uk/past-paper-questions/edexcel/2-2-2-consumption/,1,0,13,0,7.69%,0%,36,0
https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/1-5-1-market-structures.html,1,0,12,0,8.33%,0%,13.75,0
https://economicsacademy.co.uk/revision-notes/edexcel-theme-3/3-6-2-the-impact-of-government-intervention.html,1,0,12,12,8.33%,0%,16.67,8.17
