URL,Last crawled
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-june-2022-question-paper.pdf,2026-07-07
https://economicsacademy.co.uk/faq.html,2026-05-12
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-3-2-externalities.html,2026-04-22
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-1/aqa-as-level-economics-paper-1-june-2018-question-paper.pdf,2026-04-14
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-2-4-supply.html,2026-04-14
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-2/edexcel-b-a-level-economics-paper-2-october-2020-mark-scheme.pdf,2026-04-10
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-2/aqa-a-level-economics-paper-2-june-2017-mark-scheme.pdf,2026-04-10
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-3/edexcel-b-a-level-economics-paper-3-june-2023-question-paper.pdf,2026-04-09
https://economicsacademy.co.uk/contact.html,2026-04-08
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2023-question-paper.pdf,2026-04-05
https://economicsacademy.co.uk/about.html,2026-04-03
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-2/aqa-as-level-economics-paper-2-specimen-question-paper.pdf,2026-04-01
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2018-question-paper.pdf,2026-03-30
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-2/aqa-a-level-economics-paper-2-june-2024-question-paper.pdf,2026-03-27
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-2/aqa-as-level-economics-paper-2-june-2016-question-paper.pdf,2026-03-25
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-june-2024-mark-scheme.pdf,2026-03-20
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-june-2024-mark-scheme.pdf,2026-03-14
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-1/edexcel-a-level-economics-paper-1-june-2022-mark-scheme.pdf,2026-03-12
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-1/aqa-as-level-economics-paper-1-june-2024-question-paper.pdf,2026-03-11
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-2/aqa-as-level-economics-paper-2-specimen-mark-scheme.pdf,2026-03-06
https://economicsacademy.co.uk/past-papers/edexcel-b/as-level/paper-1/edexcel-b-as-level-economics-paper-1-june-2017-question-paper.pdf,2026-03-06
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-2-5-price-income-cross-elasticities-of-supply.html,2026-03-05
https://economicsacademy.co.uk/past-papers/edexcel-b/as-level/paper-2/edexcel-b-as-level-economics-paper-2-october-2020-question-paper.pdf,2026-03-05
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-2/edexcel-b-a-level-economics-paper-2-june-2017-question-paper.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel-b/as-level/paper-1/edexcel-b-as-level-economics-paper-1-june-2016-mark-scheme.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-1/edexcel-b-a-level-economics-paper-1-june-2019-question-paper.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-3/edexcel-b-a-level-economics-paper-3-october-2020-question-paper.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-1/edexcel-b-a-level-economics-paper-1-june-2017-question-paper.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-3/edexcel-b-a-level-economics-paper-3-june-2019-mark-scheme.pdf,2026-03-04
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-1/edexcel-as-level-economics-paper-1-june-2019-question-paper.pdf,2026-03-03
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-1/edexcel-as-level-economics-paper-1-june-2016-question-paper.pdf,2026-03-03
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-june-2022-mark-scheme.pdf,2026-02-26
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-november-2020-mark-scheme.pdf,2026-02-26
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-november-2020-mark-scheme.pdf,2026-02-26
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-november-2020-question-paper.pdf,2026-02-26
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-2-3-price-income-cross-elasticities-of-demand.html,2026-02-24
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-june-2024-mark-scheme.pdf,2026-02-24
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-june-2022-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2023-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-june-2022-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-june-2023-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-november-2020-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-june-2022-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-november-2020-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-june-2024-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-november-2021-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-june-2022-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-november-2021-mark-scheme.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-november-2021-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-june-2023-question-paper.pdf,2026-02-23
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-1/aqa-a-level-economics-paper-1-june-2019-mark-scheme.pdf,2026-02-19
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-1/edexcel-as-level-economics-paper-1-june-2023-mark-scheme.pdf,2026-02-19
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-2/edexcel-as-level-economics-paper-2-october-2020-question-paper.pdf,2025-12-06
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2024-question-paper.pdf,2025-10-22
