URL,Last crawled
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-june-2022-mark-scheme.pdf,2026-08-05
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-3/edexcel-a-level-economics-paper-3-june-2017-question-paper.pdf,2026-08-05
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-june-2024-question-paper.pdf,2026-08-03
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-1/aqa-a-level-economics-paper-1-june-2018-question-paper.pdf,2026-08-03
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-june-2022-mark-scheme.pdf,2026-08-03
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-june-2024-question-paper.pdf,2026-08-02
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-november-2021-question-paper.pdf,2026-08-02
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-june-2023-mark-scheme.pdf,2026-08-01
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-november-2021-mark-scheme.pdf,2026-08-01
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-june-2024-question-paper.pdf,2026-07-31
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-2/edexcel-a-level-economics-paper-2-june-2018-question-paper.pdf,2026-07-31
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-june-2022-question-paper.pdf,2026-07-31
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-1/edexcel-a-level-economics-paper-1-june-2018-mark-scheme.pdf,2026-07-29
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-1/edexcel-as-level-economics-paper-1-october-2020-question-paper.pdf,2026-07-29
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-2/edexcel-a-level-economics-paper-2-june-2017-question-paper.pdf,2026-07-27
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-3/ocr-a-level-economics-paper-3-june-2024-mark-scheme.pdf,2026-07-26
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-1/edexcel-a-level-economics-paper-1-june-2023-question-paper.pdf,2026-07-26
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-2/ocr-a-level-economics-paper-2-june-2023-mark-scheme.pdf,2026-07-25
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-1/edexcel-a-level-economics-paper-1-november-2021-question-paper.pdf,2026-07-25
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-june-2024-question-paper.pdf,2026-07-25
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-1/ocr-as-level-economics-paper-1-november-2020-mark-scheme.pdf,2026-07-23
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-june-2023-mark-scheme.pdf,2026-07-22
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-3/edexcel-a-level-economics-paper-3-october-2020-mark-scheme.pdf,2026-07-21
https://economicsacademy.co.uk/past-papers/edexcel/as-level/paper-1/edexcel-as-level-economics-paper-1-june-2018-question-paper.pdf,2026-07-17
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-2/aqa-a-level-economics-paper-2-june-2021-mark-scheme.pdf,2026-06-11
https://economicsacademy.co.uk/past-papers/ocr/a-level/paper-1/ocr-a-level-economics-paper-1-june-2023-question-paper.pdf,2026-05-24
https://economicsacademy.co.uk/past-papers/edexcel/a-level/paper-2/edexcel-a-level-economics-paper-2-october-2020-question-paper.pdf,2026-05-14
https://economicsacademy.co.uk/past-papers/edexcel-b/a-level/paper-2/edexcel-b-a-level-economics-paper-2-june-2019-mark-scheme.pdf,2026-05-07
https://economicsacademy.co.uk/past-papers/ocr/as-level/paper-2/ocr-as-level-economics-paper-2-november-2020-question-paper.pdf,2026-03-03
