Top pages,Clicks,Impressions,CTR,Position
https://economicsacademy.co.uk/,223,2463,9.05%,17.35
https://economicsacademy.co.uk/revision-notes/,187,5791,3.23%,9.82
https://economicsacademy.co.uk/revision-notes/index.html,174,4112,4.23%,9.35
https://economicsacademy.co.uk/past-papers/edexcel-b/index.html,80,4476,1.79%,6.52
https://economicsacademy.co.uk/past-papers/edexcel-b/,78,7214,1.08%,10.29
https://economicsacademy.co.uk/past-papers/ocr/index.html,68,4684,1.45%,7.38
https://economicsacademy.co.uk/past-papers/ocr/,65,4757,1.37%,11.21
https://economicsacademy.co.uk/revision-notes/macroeconomics-diagrams.html,37,2620,1.41%,14.31
https://economicsacademy.co.uk/past-papers/aqa/,34,3827,0.89%,16.58
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/,23,1101,2.09%,9.57
https://economicsacademy.co.uk/past-papers/aqa/index.html,17,1963,0.87%,9.71
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-2/aqa-a-level-economics-paper-2-specimen-question-paper.pdf,17,1320,1.29%,14.78
https://economicsacademy.co.uk/tutoring.html,17,440,3.86%,26.27
https://economicsacademy.co.uk/marking.html,17,334,5.09%,11.52
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2021-question-paper.pdf,15,1356,1.11%,15.92
https://economicsacademy.co.uk/revision-notes/microeconomics-diagrams.html,14,1463,0.96%,13.17
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-2/aqa-as-level-economics-paper-2-june-2022-question-paper.pdf,13,828,1.57%,15.63
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-1/aqa-a-level-economics-paper-1-specimen-question-paper.pdf,12,654,1.83%,14.28
https://economicsacademy.co.uk/revision-notes/edexcel-theme-1/1-1-1-economics-as-a-social-science.html,12,619,1.94%,10.76
https://economicsacademy.co.uk/revision-notes/edexcel-theme-3/index.html,11,391,2.81%,9.62
https://economicsacademy.co.uk/revision-notes/edexcel-theme-4/index.html,10,451,2.22%,8.86
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-2/aqa-as-level-economics-paper-2-june-2018-question-paper.pdf,9,582,1.55%,22.12
https://economicsacademy.co.uk/revision-notes/edexcel-theme-2/,9,418,2.15%,12.1
https://economicsacademy.co.uk/revision-notes/aqa-a2-micro/,8,843,0.95%,10.76
https://economicsacademy.co.uk/past-papers/aqa/a-level/paper-3/aqa-a-level-economics-paper-3-june-2020-question-paper.pdf,8,504,1.59%,16.48
https://economicsacademy.co.uk/past-papers/aqa/as-level/paper-1/aqa-as-level-economics-paper-1-specimen-question-paper.pdf,8,365,2.19%,17.08
https://economicsacademy.co.uk/revision-notes/aqa-a2-macro/,7,136,5.15%,9.76
